date	kperiod	irregular	holiday	count	DeliverD1	DeliverD7	DeliverD14	DeliverD21	Bill1	Bill7	Bill14	Bill21	Deliver	AvgService
21-02-04	15	0	0	9	0	0	0	0	0	0	0	0	0	2.571667
21-02-04	16	0	0	14	0	0	0	0	0	0	0	0	0	1.71
21-02-04	17	0	0	28	0	0	0	0	0	0	0	0	0	2.466667
21-02-04	18	0	0	32	0	0	0	0	0	0	0	0	0	1.773333
21-02-04	19	0	0	55	0	0	0	0	0	0	0	0	0	2.53
21-02-04	20	0	0	69	0	0	0	0	0	0	0	0	0	2.333333
21-02-04	21	0	0	74	0	0	0	0	0	0	0	0	0	2.008333
21-02-04	22	0	0	113	0	0	0	0	0	0	0	0	0	2.168333
21-02-04	23	0	0	124	0	0	0	0	0	0	0	0	0	2.698333
21-02-04	24	0	0	124	0	0	0	0	0	0	0	0	0	2.958333
21-02-04	25	0	0	137	0	0	0	0	0	0	0	0	0	2.515
21-02-04	26	0	0	132	0	0	0	0	0	0	0	0	0	2.135
21-02-04	27	0	0	123	0	0	0	0	0	0	0	0	0	2.661667
21-02-04	28	0	0	155	0	0	0	0	0	0	0	0	0	3.063333
21-02-04	29	0	0	110	0	0	0	0	0	0	0	0	0	2.598333
21-02-04	30	0	0	131	0	0	0	0	0	0	0	0	0	2.498333
21-02-04	31	0	0	165	0	0	0	0	0	0	0	0	0	2.64
21-02-04	32	0	0	164	0	0	0	0	0	0	0	0	0	2.915
21-02-04	33	0	0	149	0	0	0	0	0	0	0	0	0	2.56
21-02-04	34	0	0	168	0	0	0	0	0	0	0	0	0	3.183333
21-02-04	35	0	0	162	0	0	0	0	0	0	0	0	0	2.835
